Authors,Year,Title,Journal,PMID,PMCID
"Hanson RL, Rose C",1980,Effects of an insertion mutation in a locus affecting pyridine nucleotide transhydrogenase (pnt::Tn5) on the growth of Escherichia coli.,J Bacteriol 141(1);401-4,6986364,PMC293612
"Egorov MV, Tigerstrom A, Pestov NB, Korneenko TV, Kostina MB, Shakhparonov MI, Rydstrom J",2004,Purification of a recombinant membrane protein tagged with a calmodulin-binding domain: properties of chimeras of the Escherichia coli nicotinamide nucleotide transhydrogenase and the C-terminus of human plasma membrane Ca2+ -ATPase.,Protein Expr Purif 36(1);31-9,15177281,
"Pedersen A, Karlsson J, Althage M, Rydstrom J",2003,Properties of the apo-form of the NADP(H)-binding domain III of proton-pumping Escherichia coli transhydrogenase: implications for the reaction mechanism of the intact enzyme.,Biochim Biophys Acta 1604(2);55-9,12765762,
"Bragg PD, Hou C",1999,"Effect of NBD chloride (4-chloro-7-nitrobenzo-2-oxa-1,3-diazole) on the pyridine nucleotide transhydrogenase of Escherichia coli.",Biochim Biophys Acta 1413(3);159-71,10556628,
"Tong RC, Glavas NA, Bragg PD",1991,Topological analysis of the pyridine nucleotide transhydrogenase of Escherichia coli using proteolytic enzymes.,Biochim Biophys Acta 1080(1);19-28,1932078,
"Glavas NA, Hou C, Bragg PD",1995,Involvement of histidine-91 of the beta subunit in proton translocation by the pyridine nucleotide transhydrogenase of Escherichia coli.,Biochemistry 34(23);7694-702,7779816,
"Zhang N, Chen R, Young N, Wishart D, Winter P, Weiner JH, Li L",2007,Comparison of SDS- and methanol-assisted protein solubilization and digestion methods for Escherichia coli membrane proteome analysis by 2-D LC-MS/MS.,Proteomics 7(4);484-93,17309111,
"Federowicz S, Kim D, Ebrahim A, Lerman J, Nagarajan H, Cho BK, Zengler K, Palsson B",2014,Determining the control circuitry of redox metabolism at the genome-scale.,PLoS Genet 10(4);e1004264,24699140,PMC3974632
"Glavas N, Ahmad S, Bragg PD, Olausson T, Rydstrom J",1993,"Identification of N,N'-dicyclohexylcarbodiimide-reactive glutamic and aspartic acid residues in Escherichia coli transhydrogenase and the exchange of these by site-specific mutagenesis.",J Biol Chem 268(19);14125-30,8100227,
"Cunningham IJ, Williams R, Palmer T, Thomas CM, Jackson JB",1992,The relation between the soluble factor associated with H(+)-transhydrogenase of Rhodospirillum rubrum and the enzyme from mitochondria and Escherichia coli.,Biochim Biophys Acta 1100(3);332-8,1610876,
"Hu X, Zhang J, Rydstrom J",1998,Interactions of reduced and oxidized nicotinamide mononucleotide with wild-type and alphaD195E mutant proton-pumping nicotinamide nucleotide transhydrogenases from Escherichia coli.,Biochim Biophys Acta 1367(1-3);134-8,9784624,
